ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 100 cm;;;09021080;;10000;18,98;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 80, 100;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 100 cm;;;09021100;;10000;19,92;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 100, 100;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 100 cm;;;09021110;;10000;20,18;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 110, 100;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 100 cm;;;09021120;;10000;20,46;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 125, 100;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 6mm 300 cm;;;09022060;;10000;1,40;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 60, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 8 mm 300 cm;;;09022080;;10000;1,40;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 80, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 9 mm 300 cm;;;09022090;;10000;1,50;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 90, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 10 mm 300 cm;;;09022100;;10000;1,35;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 100, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 11 mm 300 cm;;;09022110;;10000;1,41;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 110, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
Abschlussprofil Edelstahl (V2A, 304) natur 12,5 mm 300 cm;;;09022120;;10000;1,50;Grundrabatt · Dural Preisliste 2026-08 · Fliesenprofile · Kat. A · 50%;DISCOUNT_PCT;50;Kundenrabatt · Dural Preisliste 2026-08 · Kat. A · 50%;DISCOUNT_PCT;50;EUR;lfm;DSE 125, 300;;25.08.2026;;;;;;;EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ja;;;;;ja
